"image_name","image_fullpath","image_relpath","image_relpath_slash"
"27-06-2011 10-52-50.png","C:\Ispol\util\Ayuda\Imagenes\27-06-2011 10-52-50.png","Imagenes\27-06-2011 10-52-50.png","Imagenes/27-06-2011 10-52-50.png"
"acceso_dibujo_bordes_activos.png","C:\Ispol\util\Ayuda\Imagenes\acceso_dibujo_bordes_activos.png","Imagenes\acceso_dibujo_bordes_activos.png","Imagenes/acceso_dibujo_bordes_activos.png"
"ali_ejem1.png","C:\Ispol\util\Ayuda\Imagenes\ali_ejem1.png","Imagenes\ali_ejem1.png","Imagenes/ali_ejem1.png"
"ali_ejem2.png","C:\Ispol\util\Ayuda\Imagenes\ali_ejem2.png","Imagenes\ali_ejem2.png","Imagenes/ali_ejem2.png"
"alzado_triang_exp_sup_cuadro.png","C:\Ispol\util\Ayuda\Imagenes\alzado_triang_exp_sup_cuadro.png","Imagenes\alzado_triang_exp_sup_cuadro.png","Imagenes/alzado_triang_exp_sup_cuadro.png"
"alzado_triang_exp_sup_eje_act.png","C:\Ispol\util\Ayuda\Imagenes\alzado_triang_exp_sup_eje_act.png","Imagenes\alzado_triang_exp_sup_eje_act.png","Imagenes/alzado_triang_exp_sup_eje_act.png"
"anade_ramal_mismo_eje.png","C:\Ispol\util\Ayuda\Imagenes\anade_ramal_mismo_eje.png","Imagenes\anade_ramal_mismo_eje.png","Imagenes/anade_ramal_mismo_eje.png"
"aparato_dilatacion_planta.png","C:\Ispol\util\Ayuda\Imagenes\aparato_dilatacion_planta.png","Imagenes\aparato_dilatacion_planta.png","Imagenes/aparato_dilatacion_planta.png"
"barrera_doble.png","C:\Ispol\util\Ayuda\Imagenes\barrera_doble.png","Imagenes\barrera_doble.png","Imagenes/barrera_doble.png"
"base_paral_cdf.png","C:\Ispol\util\Ayuda\Imagenes\base_paral_cdf.png","Imagenes\base_paral_cdf.png","Imagenes/base_paral_cdf.png"
"berma_cuneta.png","C:\Ispol\util\Ayuda\Imagenes\berma_cuneta.png","Imagenes\berma_cuneta.png","Imagenes/berma_cuneta.png"
"bim03.png","C:\Ispol\util\Ayuda\Imagenes\bim03.png","Imagenes\bim03.png","Imagenes/bim03.png"
"bim_act_desact.png","C:\Ispol\util\Ayuda\Imagenes\bim_act_desact.png","Imagenes\bim_act_desact.png","Imagenes/bim_act_desact.png"
"BIM_atributos_acum.png","C:\Ispol\util\Ayuda\Imagenes\BIM_atributos_acum.png","Imagenes\BIM_atributos_acum.png","Imagenes/BIM_atributos_acum.png"
"bim_atributos_general.png","C:\Ispol\util\Ayuda\Imagenes\bim_atributos_general.png","Imagenes\bim_atributos_general.png","Imagenes/bim_atributos_general.png"
"bim_cargar_b1m.png","C:\Ispol\util\Ayuda\Imagenes\bim_cargar_b1m.png","Imagenes\bim_cargar_b1m.png","Imagenes/bim_cargar_b1m.png"
"bim_config_clases.png","C:\Ispol\util\Ayuda\Imagenes\bim_config_clases.png","Imagenes\bim_config_clases.png","Imagenes/bim_config_clases.png"
"bim_editar_diccionario.png","C:\Ispol\util\Ayuda\Imagenes\bim_editar_diccionario.png","Imagenes\bim_editar_diccionario.png","Imagenes/bim_editar_diccionario.png"
"bim_filtros_clas.png","C:\Ispol\util\Ayuda\Imagenes\bim_filtros_clas.png","Imagenes\bim_filtros_clas.png","Imagenes/bim_filtros_clas.png"
"bim_import_csv.png","C:\Ispol\util\Ayuda\Imagenes\bim_import_csv.png","Imagenes\bim_import_csv.png","Imagenes/bim_import_csv.png"
"bim_origen_atr_istram.png","C:\Ispol\util\Ayuda\Imagenes\bim_origen_atr_istram.png","Imagenes\bim_origen_atr_istram.png","Imagenes/bim_origen_atr_istram.png"
"BIM_tab_importado_csv.png","C:\Ispol\util\Ayuda\Imagenes\BIM_tab_importado_csv.png","Imagenes\BIM_tab_importado_csv.png","Imagenes/BIM_tab_importado_csv.png"
"borrar_elementos_edm.png","C:\Ispol\util\Ayuda\Imagenes\borrar_elementos_edm.png","Imagenes\borrar_elementos_edm.png","Imagenes/borrar_elementos_edm.png"
"Botón Compensación manual.png","C:\Ispol\util\Ayuda\Imagenes\Botón Compensación manual.png","Imagenes\Botón Compensación manual.png","Imagenes/Botón Compensación manual.png"
"bulones_alambrico.png","C:\Ispol\util\Ayuda\Imagenes\bulones_alambrico.png","Imagenes\bulones_alambrico.png","Imagenes/bulones_alambrico.png"
"cambiar_tipo_malla.png","C:\Ispol\util\Ayuda\Imagenes\cambiar_tipo_malla.png","Imagenes\cambiar_tipo_malla.png","Imagenes/cambiar_tipo_malla.png"
"capa_forma_paralela.png","C:\Ispol\util\Ayuda\Imagenes\capa_forma_paralela.png","Imagenes\capa_forma_paralela.png","Imagenes/capa_forma_paralela.png"
"CARRILES_LT_LIL_BLANCO.png","C:\Ispol\util\Ayuda\Imagenes\CARRILES_LT_LIL_BLANCO.png","Imagenes\CARRILES_LT_LIL_BLANCO.png","Imagenes/CARRILES_LT_LIL_BLANCO.png"
"CARRILES_LT_LIL_NEGRO.png","C:\Ispol\util\Ayuda\Imagenes\CARRILES_LT_LIL_NEGRO.png","Imagenes\CARRILES_LT_LIL_NEGRO.png","Imagenes/CARRILES_LT_LIL_NEGRO.png"
"Catalogo_longitudinal_colores_2.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_colores_2.png","Imagenes\Catalogo_longitudinal_colores_2.png","Imagenes/Catalogo_longitudinal_colores_2.png"
"Catalogo_transversal_FCC_ITA.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_transversal_FCC_ITA.png","Imagenes\Catalogo_transversal_FCC_ITA.png","Imagenes/Catalogo_transversal_FCC_ITA.png"
"Catalogo_transversal_ISP11F.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_transversal_ISP11F.png","Imagenes\Catalogo_transversal_ISP11F.png","Imagenes/Catalogo_transversal_ISP11F.png"
"Catalogo_transversal_ISPOL.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_transversal_ISPOL.png","Imagenes\Catalogo_transversal_ISPOL.png","Imagenes/Catalogo_transversal_ISPOL.png"
"chequear_punto_topo.png","C:\Ispol\util\Ayuda\Imagenes\chequear_punto_topo.png","Imagenes\chequear_punto_topo.png","Imagenes/chequear_punto_topo.png"
