"html_file","ref_clean","image_name","image_relpath","image_fullpath","context_snippet","match_type"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/home_button.jpg","home_button.jpg","Imagenes\home_button.jpg","C:\Ispol\util\Ayuda\Imagenes\home_button.jpg","rder=""0"" cellpadding=""0"" width=""700""> <tbody> <tr> <td><span class=""Parrafo""><a href=""index.html""><img src=""Imagenes/home_button.jpg"" name=""Inicio"" id=""Inicio"" style=""width: 33px; height: 33px;"" alt=""""></a> <a href=""http://","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/icono_ispol.png","icono_ispol.png","Imagenes\icono_ispol.png","C:\Ispol\util\Ayuda\Imagenes\icono_ispol.png","io"" id=""Inicio"" style=""width: 33px; height: 33px;"" alt=""""></a> <a href=""http://www.istram.net/index.php?opcion=11""><img src=""Imagenes/icono_ispol.png"" border=""0"" height=""30"" width=""30""></a> <a href=""mailto:soporte@istram.net?subject=Soporte","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/help.png","help.png","Imagenes\help.png","C:\Ispol\util\Ayuda\Imagenes\help.png","cono_ispol.png"" border=""0"" height=""30"" width=""30""></a> <a href=""mailto:soporte@istram.net?subject=Soporte%20ISPOL""><img src=""Imagenes/help.png"" border=""0"" height=""30"" width=""30""> </a> <a href=""http://www.youtube.com/user/Buhodra""><im","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/icono-youtube_30x30.png","icono-youtube_30x30.png","Imagenes\icono-youtube_30x30.png","C:\Ispol\util\Ayuda\Imagenes\icono-youtube_30x30.png","c=""Imagenes/help.png"" border=""0"" height=""30"" width=""30""> </a> <a href=""http://www.youtube.com/user/Buhodra""><img src=""Imagenes/icono-youtube_30x30.png"" border=""0"" height=""30"" width=""30""> </a> <a href=""http://www.facebook.com/board.ph","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/facebook30x30.png","facebook30x30.png","Imagenes\facebook30x30.png","C:\Ispol\util\Ayuda\Imagenes\facebook30x30.png","a> <a href=""http://www.facebook.com/board.php?uid=172144086144018#%21/pages/Buhodra-Ingenieria-SA/172144086144018""><img src=""Imagenes/facebook30x30.png"" border=""0"" height=""30"" width=""30""> </a> <a href=""http://twitter.com/IstramBuhodra""><img","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/twitter.png","twitter.png","Imagenes\twitter.png","C:\Ispol\util\Ayuda\Imagenes\twitter.png","rc=""Imagenes/facebook30x30.png"" border=""0"" height=""30"" width=""30""> </a> <a href=""http://twitter.com/IstramBuhodra""><img src=""Imagenes/twitter.png"" border=""0"" height=""30"" width=""30""></a></span> </td> </tr> </tbody> </table>","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/icono_acceso_istram.png","icono_acceso_istram.png","Imagenes\icono_acceso_istram.png","C:\Ispol\util\Ayuda\Imagenes\icono_acceso_istram.png","r> <span class=""Titulo_2""><a name=""ventana_arranque"">Ventana de arranque</a></span><br> <br> <img src=""Imagenes/icono_acceso_istram.png"" style=""width: 32px; height: 43px; margin-left: 7px;"" alt="""" align=""right"">Una vez","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/arranque_llaves.png","arranque_llaves.png","Imagenes\arranque_llaves.png","C:\Ispol\util\Ayuda\Imagenes\arranque_llaves.png","ve disponible.<br> <br> <div style=""text-align: center;""><img style=""width: 600px; height: 399px;"" alt="""" src=""Imagenes/arranque_llaves.png""><br> </div> <br> Desde el desplegable de Configuración &gt; Licencia","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/arranque_1.png","arranque_1.png","Imagenes\arranque_1.png","C:\Ispol\util\Ayuda\Imagenes\arranque_1.png","una de esas ubicaciones y guardarla como acceso favorito:<br> <br> <div style=""text-align: center;""><img src=""Imagenes/arranque_1.png"" style=""width: 694px; height: 413px;"" alt=""""><br> </div> <br> La funcionalid","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/arranque_2.png","arranque_2.png","Imagenes\arranque_2.png","C:\Ispol\util\Ayuda\Imagenes\arranque_2.png","®</sup>/ISPOL<sup>®</sup>, se lanza el programa en el directorio seleccionado. Otras opciones de la utilidad son:<img src=""Imagenes/arranque_2.png"" style=""width: 482px; height: 138px; margin-left: 7px;"" alt="""" align=""right""> <ul>","exact_path"
