"html_file","ref_clean","image_name","image_relpath","image_fullpath","context_snippet","match_type"
"C:\Ispol\util\Ayuda\EDM_georreferenciacion.html","Imagenes/icono%2520base%2520datos%2520completa.png","icono%2520base%2520datos%2520completa.png","","","<ul> <li>Seleccionar un C.R.S. desde la base de datos completa <img style=""width: 50px; height: 20px;"" alt="""" src=""Imagenes/icono%2520base%2520datos%2520completa.png"" />, desde los <span style=""font-weight: bold;"">favoritos</span>","missing"
"C:\Ispol\util\Ayuda\EDM_georreferenciacion.html","Imagenes/icono%20favoritos.png","icono%20favoritos.png","","","eta.png"" />, desde los <span style=""font-weight: bold;"">favoritos</span> <img style=""width: 20px; height: 20px;"" alt="""" src=""Imagenes/icono%20favoritos.png"" />, desde archivo&nbsp;<span class=""Archivo"">.crs</span> o acceder al cuadro de diá","missing"
"C:\Ispol\util\Ayuda\EDM_georreferenciacion.html","Imagenes/icono%20crs.png","icono%20crs.png","","","span class=""Archivo"">.crs</span> o acceder al cuadro de diálogo completo <img style=""width: 50px; height: 20px;"" alt="""" src=""Imagenes/icono%20crs.png"" />. Al seleccionar un nuevo CRS si no tiene ninguna transformación asociada, se trata d","missing"
"C:\Ispol\util\Ayuda\EDM_georreferenciacion.html","Imagenes/compensaciones%20utm.png","compensaciones%20utm.png","","","</a><div style=""text-align: center;""><a name=""Compensaciones_UTM""><img style=""width: 459px; height: 177px;"" alt="""" src=""Imagenes/compensaciones%20utm.png"" /><br /> </a></div> <a name=""Compensaciones_UTM""><br /> </a><a na","missing"
"C:\Ispol\util\Ayuda\EDM_visualizacion.html","Imagenes/icono%20destacar%20mas.png","icono%20destacar%20mas.png","","","en uso en la cartografia en ese momento. Para ello clicaremos la casilla <img style=""width: 22px; height: 22px;"" alt="""" src=""Imagenes/icono%20destacar%20mas.png"" /> para poder seleccionar el tipo de línea a destacar.<br /> <br /> Ad","missing"
"C:\Ispol\util\Ayuda\MS_perforaciones.html","Imagenes/Volcar_barreno_l%EDnea_cartogr%E1fica.png","Volcar_barreno_l%EDnea_cartogr%E1fica.png","","","barreno como línea cartográfica</span> <img style=""width: 20px; height: 20px;"" alt=""Volcar_barreno_línea_cartográfica"" src=""Imagenes/Volcar_barreno_l%EDnea_cartogr%E1fica.png"" />, permite volcar el eje del barreno como línea cartográfica e","missing"
"C:\Ispol\util\Ayuda\MS_perforaciones.html","Imagenes/Definir_barreno_desde_l%EDnea_cartogr%E1fica.png","Definir_barreno_desde_l%EDnea_cartogr%E1fica.png","","","e línea cartográfica&nbsp;</span><img style=""width: 20px; height: 20px;"" alt=""Definir_barreno_desde_línea_cartográfica"" src=""Imagenes/Definir_barreno_desde_l%EDnea_cartogr%E1fica.png"" />,&nbsp;permite definir el barreno a partir de una líne","missing"
"C:\Ispol\util\Ayuda\OL_BIM.html","Imagenes/icono_a%F1a_colum_atributos.png","icono_a%F1a_colum_atributos.png","","","to en el árbol IFC.<br /> </p> <p class=""Standard"" style=""text-align: justify;"">Mediante el icono <img src=""Imagenes/icono_a%F1a_colum_atributos.png"" style=""width: 26px; height: 26px;"" alt="""" /> podremos añadir una nueva c","missing"
"C:\Ispol\util\Ayuda\OL_BIM.html","Imagenes/icono_bim_insertar%20PSET.png","icono_bim_insertar%20PSET.png","","","ight: 27px;"" alt="""" /> Borrar PSET seleccionado</p> <p class=""Standard"" style=""text-align: justify;"">&nbsp;<img src=""Imagenes/icono_bim_insertar%20PSET.png"" style=""width: 25px; height: 25px;"" alt="""" /> Insertar PSET delante del sel","missing"
"C:\Ispol\util\Ayuda\OL_BIM.html","Imagenes/icono_a%F1a_propiedad.png","icono_a%F1a_propiedad.png","","","tre paréntesis el número de propiedades en esa lista.</p> <p class=""Standard"" style=""text-align: justify;""><img src=""Imagenes/icono_a%F1a_propiedad.png"" style=""width: 25px; height: 25px;"" alt="""" /> Añadir propiedad</p> <p cla","missing"
"C:\Ispol\util\Ayuda\OL_BIM.html","Imagenes/icono_a%F1a_propiedad_tabla.png","icono_a%F1a_propiedad_tabla.png","","","width: 25px; height: 25px;"" alt="""" /> Añadir propiedad</p> <p class=""Standard"" style=""text-align: justify;""><img src=""Imagenes/icono_a%F1a_propiedad_tabla.png"" style=""width: 25px; height: 25px;"" alt="""" /> Añadir propiedad desde una","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/bim_tramificacion.png","bim_tramificacion.png","","","i> </ul> </ul> <div style=""text-align: center;""><img style=""width: 600px; height: 166px;"" alt="""" src=""Imagenes/bim_tramificacion.png"" /><br /> </div> <ul> <li><span style=""font-weight: bold;"">Ob","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/bim_clases.png","bim_clases.png","","","os objetos.</p> <p class=""Standard"" style=""text-align: center;""><img style=""width: 600px; height: 258px;"" alt="""" src=""Imagenes/bim_clases.png"" /><br /> </p> <p class=""Standard"" style=""text-align: justify;"">La pestaña","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/bim_clasesEj1.png","bim_clasesEj1.png","","","s opciones:</p> <p class=""Standard"" style=""text-align: center;""><img style=""width: 580px; height: 183px;"" alt="""" src=""Imagenes/bim_clasesEj1.png"" /></p> <p class=""Standard"" style=""text-align: justify;"">Obtendremos la siguiente","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/bim_clasesEj2.png","bim_clasesEj2.png","","","o proyecto:</p> <p class=""Standard"" style=""text-align: center;""><img style=""width: 478px; height: 199px;"" alt="""" src=""Imagenes/bim_clasesEj2.png"" /></p> <p class=""Standard"" style=""text-align: justify;""> </p>","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/icono_BIMdicNombres.png","icono_BIMdicNombres.png","","","creado en un archivo&nbsp;<span class=""Archivo"">.fcv</span>.<br /> <br /> </li> <li><img src=""Imagenes/icono_BIMdicNombres.png"" alt="""" style=""width: 22px; height: 22px;"" /> <span style=""font-weight: bold;"">Edi","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/bim_ejemploFct.png","bim_ejemploFct.png","","","en columnas:</li> </ul> <div style=""text-align: center;""><img style=""width: 525px; height: 153px;"" alt="""" src=""Imagenes/bim_ejemploFct.png"" /><br /> </div> <ul> <li><img style=""width: 20px; height: 20px;","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/icono_suspensivos.png","icono_suspensivos.png","","","a qué clase de objetos se aplicará el atributo. Se escoge pulsando el botón<span style=""font-weight: bold;"">&nbsp;<img src=""Imagenes/icono_suspensivos.png"" alt="""" style=""width: 18px; height: 19px;"" /> para escoger una de entre las definida","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/icono_tabla_bim.png","icono_tabla_bim.png","","","del atributo. Se puede escribir directamente o se puede pulsar el botón <img style=""width: 13px; height: 13px;"" alt="""" src=""Imagenes/icono_tabla_bim.png"" /> para escoger uno de los nombres definidos en el archivo&nbsp;<span class=""Archivo""","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/icono_suspensivos.png","icono_suspensivos.png","","","> </li> <li><span style=""font-weight: bold;"">Valor</span>: Valor del atributo. Pulsando el botón <img src=""Imagenes/icono_suspensivos.png"" alt="""" style=""width: 18px; height: 19px;"" /> se puede escoger uno de los atributos","missing"
"C:\Ispol\util\Ayuda\OL_BIM_opciones.html","Imagenes/bim_opciones_exportacion.png","bim_opciones_exportacion.png","","","<p class=""Standard"" style=""text-align: right;""><img style=""width: 400px; height: 379px;"" alt="""" src=""Imagenes/bim_opciones_exportacion.png"" align=""right"" hspace=""8"" /></p> </li> <li><span styl","missing"
"C:\Ispol\util\Ayuda\OL_ficheros_ali.html","Imagenes/OL_ficheros_ali_par%E1metros.png","OL_ficheros_ali_par%E1metros.png","","","no podremos rotular la tabla.<br /> &nbsp; &nbsp; &nbsp; &nbsp; <img style=""width: 812px; height: 567px;"" alt="""" src=""Imagenes/OL_ficheros_ali_par%E1metros.png"" /><br /> <br /> </span></span><a name=""tabla_de_alineacion","missing"
"C:\Ispol\util\Ayuda\OL_lineas_frontera.html","Imagenes/dialogo_a%C3%B1adir1LFR.png","dialogo_a%C3%B1adir1LFR.png","","","r /> <div style=""text-align: center;"">&nbsp;<img style=""width: 214px; height: 147px;"" alt=""dialogo_añadir"" src=""Imagenes/dialogo_a%C3%B1adir1LFR.png"" align=""top"" /><br /> </div> <br /> Además de la","missing"
"C:\Ispol\util\Ayuda\OL_longitudinales_lon.html","Imagenes/menu_lateral_transversales.png","menu_lateral_transversales.png","","","n el menú LONGI<br /> <br /> </span> <div style=""text-align: center;""><span class=""Parrafo"">.</span><img src=""Imagenes/menu_lateral_transversales.png"" style=""width: 146px; height: 297px; margin-right: 7px;"" alt="""" align=""midd","missing"
